Date,Ozwide Flyer,Hsy Flyer
14/05/21,1,0
15/05/21,1,0
16/05/21,1,0
17/05/21,1,0
18/05/21,1,0
19/05/21,1,0
20/05/21,1,0
21/05/21,1,0
22/05/21,1,0
23/05/21,1,0
24/05/21,1,0
25/05/21,1,0
26/05/21,1,0
27/05/21,1,0
28/05/21,1,0
29/05/21,1,0
30/05/21,1,0
31/05/21,1,0
01/06/21,1,1
02/06/21,1,1
03/06/21,1,1
04/06/21,1,1
05/06/21,1,0
06/06/21,1,0
07/06/21,1,1
08/06/21,1,0
09/06/21,1,0
10/06/21,1,0
11/06/21,1,0
12/06/21,1,0
13/06/21,1,0
14/06/21,1,0
15/06/21,1,0
16/06/21,1,0
17/06/21,1,0
18/06/21,1,0
19/06/21,1,0
20/06/21,1,0
21/06/21,1,0
22/06/21,1,0
23/06/21,1,0
24/06/21,1,0
25/06/21,1,0
26/06/21,1,0
27/06/21,1,0
28/06/21,1,0
29/06/21,1,0
30/06/21,1,0
01/07/21,1,1
02/07/21,1,1
03/07/21,1,0
04/07/21,1,0
05/07/21,1,1
06/07/21,1,1
07/07/21,1,1
08/07/21,1,0
09/07/21,1,0
10/07/21,1,0
11/07/21,1,0
12/07/21,1,0
13/07/21,1,0
14/07/21,1,0
15/07/21,1,0
16/07/21,1,0
17/07/21,1,0
18/07/21,1,0
19/07/21,1,0
20/07/21,1,0
21/07/21,1,0
22/07/21,1,0
23/07/21,1,0
24/07/21,1,0
25/07/21,1,0
26/07/21,1,0
27/07/21,1,0
28/07/21,1,0
29/07/21,1,0
30/07/21,1,0
31/07/21,1,0
01/08/21,1,0
02/08/21,1,1
03/08/21,1,1
04/08/21,1,1
05/08/21,1,1
06/08/21,1,1
07/08/21,1,0
08/08/21,1,0
09/08/21,1,0
10/08/21,1,0
11/08/21,1,0
12/08/21,1,0
13/08/21,1,0
14/08/21,1,0
15/08/21,1,0
16/08/21,1,0
17/08/21,1,0
18/08/21,1,0
19/08/21,1,0
20/08/21,1,0
21/08/21,1,0
22/08/21,1,0
23/08/21,1,0
24/08/21,1,0
25/08/21,1,0
26/08/21,1,0
27/08/21,1,0
28/08/21,1,0
29/08/21,1,0
30/08/21,1,0
31/08/21,1,0
01/09/21,0,1
02/09/21,0,1
03/09/21,0,1
04/09/21,0,0
05/09/21,0,0
06/09/21,0,1
07/09/21,0,1
08/09/21,0,0
09/09/21,0,0
10/09/21,0,0
11/09/21,0,0
12/09/21,0,0
13/09/21,0,0
14/09/21,0,0
15/09/21,0,0
16/09/21,0,0
17/09/21,0,0
18/09/21,0,0
19/09/21,0,0
20/09/21,0,0
21/09/21,0,0
22/09/21,0,0
23/09/21,0,0
24/09/21,0,0
25/09/21,0,0
26/09/21,0,0
27/09/21,0,0
28/09/21,0,0
29/09/21,0,0
30/09/21,0,0
01/10/21,0,1
02/10/21,0,0
03/10/21,0,0
04/10/21,0,1
05/10/21,0,1
06/10/21,0,1
07/10/21,0,1
08/10/21,0,0
09/10/21,0,0
10/10/21,0,0
11/10/21,0,0
12/10/21,0,0
13/10/21,0,0
14/10/21,0,0
15/10/21,0,0
16/10/21,0,0
17/10/21,0,0
18/10/21,0,0
19/10/21,0,0
20/10/21,0,0
21/10/21,0,0
22/10/21,0,0
23/10/21,0,0
24/10/21,0,0
25/10/21,0,0
26/10/21,0,0
27/10/21,0,0
28/10/21,0,0
29/10/21,0,0
30/10/21,0,0
31/10/21,0,0
